régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2024,entrées 2023,évolution entrées,tranche d'entrées,propriétaire,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,part des séances de films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude
1,31,UGC NORMANDIE,ILE-DE-FRANCE,116 AVENUE DES CHAMPS ELYSEES,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,4,1533,25,2537,82854,166625,-50.2751687921981%,De 80 à 100 000 entrées,UGC,NON,NON,,FIXE,NON,C,127,39,30,18.5361612037352%,41.9606064042947%,27.9220697390143%,11.5811626529558%,58,32.6078353779185%,34.4246594331657%,48.872265,2.300938
1,35,BALZAC,ILE-DE-FRANCE,1 RUE BALZAC,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,3,589,50,4807,94257,101748,-7.36230687581083%,De 80 à 100 000 entrées,,OUI,A,RD,FIXE,NON,C,222,94,64,57.8960563318872%,16.6292428767631%,15.4716487541148%,10.0030520372349%,188,96.6993185689949%,93.2103071657474%,48.872431,2.299525
1,55,ELYSEES LINCOLN,ILE-DE-FRANCE,14 RUE LINCOLN,75108,Paris 8e Arrondissement,36218,75,00851,Paris,10947378,01-Paris,3,448,50,4333,37693,40325,-6.52696838189709%,De 30 à 40 000 entrées,,OUI,A,RDJP,FIXE,NON,C,186,99,73,67.5438355788492%,9.7302636994759%,12.8172762944873%,9.90862442718766%,124,91.6549460853258%,84.957330625909%,48.870512,2.303157
1,204, UGC OPERA,ILE-DE-FRANCE,32 BD DES ITALIENS,75109,Paris 9e Arrondissement,60784,75,00851,Paris,10947378,01-Paris,4,722,53,6193,140291,122918,14.1338127857596%,De 100 à 150 000 entrées,UGC,NON,NON,,FIXE,NON,C,113,64,61,53.4681483487893%,25.261064501643%,19.0817657583166%,2.18902139125104%,68,47.6667204908768%,43.4183233421959%,48.871332,2.335302
1,301,MAX LINDER,ILE-DE-FRANCE,24 BD POISSONNIERE,75109,Paris 9e Arrondissement,60784,75,00851,Paris,10947378,01-Paris,1,591,53,1557,100666,94613,6.39764091615317%,De 100 à 150 000 entrées,,OUI,A,PR,FIXE,NON,C,225,32,17,17.3974989749898%,45.1691266912669%,24.8462484624846%,12.5871258712587%,146,69.4661458333333%,54.4280442804428%,48.871363,2.344886
1,311,GRAND REX,ILE-DE-FRANCE,5 BD POISSONNIERE,75102,Paris 2e Arrondissement,21277,75,00851,Paris,10947378,01-Paris,7,4274,53,9693,645954,691125,-6.53586543678785%,De 450 à 700 000 entrées,,NON,NON,,FIXE,NON,C,298,119,108,14.282172663925%,66.7395762561606%,13.9997395338912%,4.97851154602326%,73,6.64935064935065%,4.9267321388504%,48.86872,2.347608
1,321,PATHE OPERA,ILE-DE-FRANCE,32 RUE LOUIS LEGRAND,75102,Paris 2e Arrondissement,21277,75,00851,Paris,10947378,01-Paris,6,1126,28,4489,139275,271989,-48.7938850468217%,De 100 à 150 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,NON,C,91,63,54,27.9923551511892%,41.232768205568%,27.077444062525%,3.69743258071783%,48,45.5908683974933%,35.4300954152708%,48.870632,2.334338
1,451,UGC MONTPARNASSE,ILE-DE-FRANCE,83 BD DU MONTPARNASSE,75106,Paris 6e Arrondissement,40452,75,00851,Paris,10947378,01-Paris,7,1490,53,11314,324787,316547,2.60308895677419%,De 300 à 450 000 entrées,UGC,NON,NON,,FIXE,NON,C,181,112,102,43.1594693954664%,35.8446095571998%,19.5449040966064%,1.45101695072737%,79,28.4892468360032%,28.4126772733889%,48.84351,2.325646
1,481,PATHE PARNASSE,ILE-DE-FRANCE,3 RUE D'ODESSA,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,15,1559,53,29341,410796,472926,-13.1373618705675%,De 300 à 450 000 entrées,CINEMAS PATHE,NON,NON,,FIXE,OUI,C,299,220,171,31.8074716568775%,44.9867797139345%,19.3786953382637%,3.82705329092435%,102,21.0129604365621%,16.8853786563116%,48.843074,2.324424
1,483,ENTREPOT,ILE-DE-FRANCE,7 ET 9 RUE FRANCIS DE PRESSENSE,75114,Paris 14e Arrondissement,134926,75,00851,Paris,10947378,01-Paris,3,268,53,4860,59173,54129,9.31847992758041%,De 50 à 80 000 entrées,,OUI,A,RDJPPR,FIXE,NON,C,365,171,16,55.2082356691481%,9.83517410789627%,19.9028671079525%,15.0537231150031%,298,92.4388111888112%,88.5896979129554%,48.83393,2.31652
