régionCNC;N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2022;entrées 2021;évolution entrées;tranche d'entrées;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude;geolocalisation
2;119305;PATHE;ILE-DE-FRANCE;RUE DE L'HAUTIL;78172;Conflans-Sainte-Honorine;36372;78;851;Paris;10949158;03-Grande couronne;13;3105;53;21079;756769;472752;60.077376721833;De 700 000 à 1 million d'entrées;PATHE-GAUMONT;NON;NON;;FIXE;OUI;B;313;246;193;24.920052477008;58.0214569695194;13.7974573957286;3.26103315774402;106;4.14155473125512;49.004829;2.077668;49.004829, 2.077668
2;439271;LES VARIETES;ILE-DE-FRANCE;72 RUE DE CHELLES;77479;Vaires-sur-Marne;13450;77;851;Paris;10949158;03-Grande couronne;1;311;47;380;9572;4203;127.742088984059;De 5 à 10 000 entrées;;NON;NON;;FIXE;NON;B;109;92;1;77.9257954420346;14.7858637014202;5.95618187823406;1.33215897831113;36;24.760541671254;48.874168;2.632366;48.874168, 2.632366
3;49632;CINEMARINE;BRETAGNE;AVENUE DE LA PLAGE;29006;Bénodet;3775;29;29402;Fouesnant;26245;05-Unités urbaines de 20 000 à 100 000 hbts;2;326;53;2433;33415;21173;57.8189203230529;De 30 à 40 000 entrées;;OUI;D;;FIXE;NON;B;219;195;128;73.3268671193017;18.7651551891368;5.48314742967992;2.42483026188167;112;32.5200048496605;47.874121;-4.110036;47.874121, -4.110036
3;138345;D S N  DIEPPE SCENE NATIONALE;NORMANDIE;QUAI BERIGNY;76217;Dieppe;28535;76;76404;Dieppe;35913;05-Unités urbaines de 20 000 à 100 000 hbts;1;578;53;976;25652;14028;82.8628457370972;De 20 à 30 000 entrées;;OUI;D;RDJPPR;FIXE;NON;C;219;114;13;69.18558633618;10.1353884607373;12.501562174547;8.17746302853572;180;84.38658612789;49.923374;1.081518;49.923374, 1.081518
3;139232;LE DRAKKAR;NORMANDIE;6 RUE DU GENERAL DE GAULLE;14225;Dives-sur-Mer;5403;14;14402;Dives-sur-Mer;33981;05-Unités urbaines de 20 000 à 100 000 hbts;1;290;52;967;21996;12794;71.9243395341566;De 20 à 30 000 entrées;;OUI;D;JP;FIXE;NON;C;183;135;9;65.3288297238228;19.0741108682694;8.42936618319094;7.16769322471687;108;42.1716669978144;49.286704;-0.099295;49.286704, -0.099295
3;154444;CINEMA YVES ROBERT;PAYS DE LA LOIRE;34 RUE DE LA FONTAINE;53097;Évron;8896;53;53203;Évron;8896;06-autres communes et unités urbaines;3;447;53;2931;32961;23525;40.1105207226355;De 30 à 40 000 entrées;;OUI;E;JPPR;FIXE;NON;I;324;236;25;51.5885366011801;33.4305906762627;11.4698826428062;3.51099007975102;176;21.7532257018738;48.155173;-0.401505;48.155173, -0.401505
3;248763;ESPACE CULTUREL BEAUMARCHAIS;NORMANDIE;13 RUE DE LA REPUBLIQUE;76410;Maromme;10971;76;755;Rouen;481277;04-Unités urbaines de 100 000 hbts ou plus;1;245;36;81;4576;1686;171.41162514828;De 2 à 5 000 entrées;;NON;NON;;FIXE;NON;B;46;26;1;63.3363268971711;26.448136506511;8.91333632689717;1.30220026942075;16;35.4737314773238;49.479355;1.042864;49.479355, 1.042864
3;276351;LE REGENT;CENTRE-VAL DE LOIRE;3 BD PHILIPPE AUGUSTE;41151;Montrichard Val de Cher;3716;41;41204;Montrichard;6739;06-autres communes et unités urbaines;1;195;53;858;24259;12300;97.2276422764228;De 20 à 30 000 entrées;;OUI;E;JPPR;FIXE;NON;C;273;206;18;56.7147760274575;26.0274575376221;12.4306961189827;4.82707031593769;152;30.7357212003872;47.343448;1.182804;47.343448, 1.182804
3;322952;CINEMA PAX;PAYS DE LA LOIRE;5 RUE DU MARECHAL JOFFRE;44135;Le Pouliguen;4116;44;44601;Saint-Nazaire;160970;04-Unités urbaines de 100 000 hbts ou plus;1;230;53;1478;36717;21522;70.6021745190967;De 30 à 40 000 entrées;;OUI;C;RDJP;FIXE;NON;B;263;182;124;67.8921777701953;11.4276777844124;12.3176661264182;8.3624783189741;206;75.4926213426597;47.276193;-2.429727;47.276193, -2.429727
3;357751;REX;NORMANDIE;5 PLACE DE LA 2EME DB;61464;Sées;4634;61;61107;Sées;4634;06-autres communes et unités urbaines;1;212;52;809;16462;10431;57.8180423736938;De 10 à 20 000 entrées;;OUI;E;JP;FIXE;NON;I;202;151;5;57.6684084168903;19.7924022030787;15.9228922468578;6.61629713317328;93;36.8803841265358;48.607433;0.170941;48.607433, 0.170941
