film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q31971,Reap the Wild Wind,http://commons.wikimedia.org/wiki/Special:FilePath/Reap%20the%20Wild%20Wind%20trailer%20screenshot.jpg,Cecil B. DeMille,123
http://www.wikidata.org/entity/Q32011,On the Town,http://commons.wikimedia.org/wiki/Special:FilePath/On%20the%20Town%20%281949%20poster%29%20crop.jpg,Stanley Donen,96
http://www.wikidata.org/entity/Q32011,On the Town,http://commons.wikimedia.org/wiki/Special:FilePath/On%20the%20Town%20%281949%20poster%29%20crop.jpg,Gene Kelly,96
http://www.wikidata.org/entity/Q32228,The Nutty Professor,http://commons.wikimedia.org/wiki/Special:FilePath/Der%20verr%C3%BCckte%20Professor%201963%20Logo.png,Jerry Lewis,103
http://www.wikidata.org/entity/Q34414,Rear Window,http://commons.wikimedia.org/wiki/Special:FilePath/Rearwindow%20trailer%203.jpg,Alfred Hitchcock,112
http://www.wikidata.org/entity/Q38815,The Day of the Owl,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20di%20scena%20Il%20giorno%20della%20civetta.jpg,Damiano Damiani,112
http://www.wikidata.org/entity/Q39005,The Pleasure Garden,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Pleasure%20Garden%20%281925%29%20Alfred%20Hitchcock%20intertitles.jpg,Alfred Hitchcock,82
http://www.wikidata.org/entity/Q39422,My Forbidden Past,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Mitchum%20in%20My%20Forbidden%20Past%20trailer.jpg,Robert Stevenson,71
http://www.wikidata.org/entity/Q39975,Dazed and Confused,http://commons.wikimedia.org/wiki/Special:FilePath/Cast%20of%20Dazed%20and%20Confused.jpg,Richard Linklater,98
http://www.wikidata.org/entity/Q41132,Barbarella,http://commons.wikimedia.org/wiki/Special:FilePath/Roger%20Vadim%20and%20Jane%20Fonda%20%28Rome%2C%201967%29.jpg,Roger Vadim,98
http://www.wikidata.org/entity/Q41754,Ghost Rider,http://commons.wikimedia.org/wiki/Special:FilePath/Ghost%20Rider.jpg,Mark Steven Johnson,110
http://www.wikidata.org/entity/Q41754,Ghost Rider,http://commons.wikimedia.org/wiki/Special:FilePath/NTF%202014%20-%20Ghost%20Rider%20%2815614249517%29.jpg,Mark Steven Johnson,110
http://www.wikidata.org/entity/Q43228,"Goodbye, Mr. Chips",http://commons.wikimedia.org/wiki/Special:FilePath/GoodbyeMrChipsTrailer1.jpg,Sam Wood,110
http://www.wikidata.org/entity/Q43836,The Bartered Bride,http://commons.wikimedia.org/wiki/Special:FilePath/Siegmund%20von%20Suchodolski%201932.jpg,Max Ophüls,76
http://www.wikidata.org/entity/Q44662,42nd Street,http://commons.wikimedia.org/wiki/Special:FilePath/DanBaxtCred42ndSt1933Trailer.jpg,Lloyd Bacon,89
http://www.wikidata.org/entity/Q44686,City Hall,http://commons.wikimedia.org/wiki/Special:FilePath/City-hall.png,Harold Becker,107
http://www.wikidata.org/entity/Q45386,Invasion of the Body Snatchers,http://commons.wikimedia.org/wiki/Special:FilePath/Dana%20Wynter%20and%20Kevin%20McCarthy.jpg,Don Siegel,80
http://www.wikidata.org/entity/Q45388,Coogan's Bluff,http://commons.wikimedia.org/wiki/Special:FilePath/Clint%20Eastwood-Susan%20Clark%20in%20Coogan%27s%20Bluff%20trailer.jpg,Don Siegel,90
http://www.wikidata.org/entity/Q45394,The Cabin in the Woods,http://commons.wikimedia.org/wiki/Special:FilePath/The%20cabin%20in%20the%20woods.svg,Drew Goddard,95
http://www.wikidata.org/entity/Q24732,The Broken Coin,http://commons.wikimedia.org/wiki/Special:FilePath/Broken%20Coin%201915.jpg,Francis Ford,
http://www.wikidata.org/entity/Q24815,Citizen Kane,http://commons.wikimedia.org/wiki/Special:FilePath/Citizen%20Kane%20poster%2C%201941%20%28Style%20B%2C%20unrestored%29.jpg,Orson Welles,119
http://www.wikidata.org/entity/Q24871,Avatar,http://commons.wikimedia.org/wiki/Special:FilePath/Avatar%20Flight%20of%20Passage%20%2833825582954%29.jpg,James Cameron,162
http://www.wikidata.org/entity/Q25005,Rio Rita,http://commons.wikimedia.org/wiki/Special:FilePath/Rio%20Rita%20poster.jpg,S. Sylvan Simon,91
http://www.wikidata.org/entity/Q25188,Inception,http://commons.wikimedia.org/wiki/Special:FilePath/InceptionCast2July10.jpg,Christopher Nolan,148
http://www.wikidata.org/entity/Q25521,Testament of Orpheus,http://commons.wikimedia.org/wiki/Special:FilePath/Cath%C3%A9drale%20d%27images%20pr%C3%A8s%20des%20Baux%20de%20Provence.JPG,Jean Cocteau,81
http://www.wikidata.org/entity/Q25835,Cast a Giant Shadow,http://commons.wikimedia.org/wiki/Special:FilePath/Douglas%20-%20Cast%20Shadow%20-%201966.jpg,Melville Shavelson,132
http://www.wikidata.org/entity/Q25994,Bandits in Milan,http://commons.wikimedia.org/wiki/Special:FilePath/Banditi%20a%20Milano.JPG,Carlo Lizzani,102
http://www.wikidata.org/entity/Q26060,Tokyo Story,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo%20Monogatari%201953.jpg,Yasujirō Ozu,136
http://www.wikidata.org/entity/Q26644,What Ever Happened to Baby Jane?,http://commons.wikimedia.org/wiki/Special:FilePath/What%20Ever%20Happened%20to%20Baby%20Jane%3F%20%281962%29%2001.png,Robert Aldrich,134
http://www.wikidata.org/entity/Q26659,Prabhuvinte Makkal,http://commons.wikimedia.org/wiki/Special:FilePath/Ppost1.JPG,,
http://www.wikidata.org/entity/Q27178,Hamlet,http://commons.wikimedia.org/wiki/Special:FilePath/London%20Film%20Museum%20-%20DSCF4108%20%285755438458%29.jpg,Laurence Olivier,150
http://www.wikidata.org/entity/Q28193,The New World,http://commons.wikimedia.org/wiki/Special:FilePath/The%20New%20World.gif,Terrence Malick,131
http://www.wikidata.org/entity/Q28196,World War Z,http://commons.wikimedia.org/wiki/Special:FilePath/World%20War%20Z%20in%20Glasgow%20030%20%289194785674%29.jpg,Marc Forster,116
http://www.wikidata.org/entity/Q28312,The Master,http://commons.wikimedia.org/wiki/Special:FilePath/Jet%20Li%20-%20Annual%20Meeting%20of%20the%20New%20Champions%20Tianjin%202008.jpg,Tsui Hark,87
http://www.wikidata.org/entity/Q29446,Mama,http://commons.wikimedia.org/wiki/Special:FilePath/Mama%20logo.jpg,Andy Muschietti,100
http://www.wikidata.org/entity/Q29658,To Rome with Love,http://commons.wikimedia.org/wiki/Special:FilePath/To%20Rome%20with%20Love.png,Woody Allen,112
http://www.wikidata.org/entity/Q29867,Jour de Fête,http://commons.wikimedia.org/wiki/Special:FilePath/Jour%20de%20Fete%20logo.png,Jacques Tati,76
http://www.wikidata.org/entity/Q31212,The Seventh Victim,http://commons.wikimedia.org/wiki/Special:FilePath/Seventh-victim-poster%20one%20sheet.jpg,Mark Robson,71
