film,filmLabel,realisateurLabel,duree,genreLabel,dateLabel,note
http://www.wikidata.org/entity/Q121268686,Q121268686,Ole Bornedal,115,film et téléfilm d'horreur,2025-02-13T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-07-16T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-07-17T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-07-18T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-07-25T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-07-31T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-08-12T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-08-14T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-08-15T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-08-21T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-08-22T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-09-05T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-09-12T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-10-02T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-10-17T00:00:00Z,69%
http://www.wikidata.org/entity/Q121433282,Eddington,Ari Aster,148,drame,2025-11-20T00:00:00Z,69%
http://www.wikidata.org/entity/Q121991068,Q121991068,Q121991345,,comédie,2025-01-28T00:00:00Z,71%
http://www.wikidata.org/entity/Q122169131,Parthenope,Paolo Sorrentino,136,drame,2025-01-08T00:00:00Z,46%
http://www.wikidata.org/entity/Q122190665,Hurry Up Tomorrow,Trey Edward Shults,,film ou téléfilm musical,2025-05-15T00:00:00Z,14%
http://www.wikidata.org/entity/Q122190665,Hurry Up Tomorrow,Trey Edward Shults,,film ou téléfilm musical,2025-05-16T00:00:00Z,14%
