film,filmLabel,image,realisateurLabel,dureeLabel
http://www.wikidata.org/entity/Q182692,Apocalypse Now,http://commons.wikimedia.org/wiki/Special:FilePath/Flickr%20-%20law%20keven%20-%20Apocalypse%20Now%5E.......minus%20the%20Helicopters...jpg,Francis Ford Coppola,147
http://www.wikidata.org/entity/Q182692,Apocalypse Now,http://commons.wikimedia.org/wiki/Special:FilePath/Flickr%20-%20law%20keven%20-%20Apocalypse%20Now%5E.......minus%20the%20Helicopters...jpg,Francis Ford Coppola,153
http://www.wikidata.org/entity/Q183063,Sixième Sens,http://commons.wikimedia.org/wiki/Special:FilePath/Haley%20Joel%20Osment%20in%202001.jpg,M. Night Shyamalan,107
http://www.wikidata.org/entity/Q183066,Démineurs,http://commons.wikimedia.org/wiki/Special:FilePath/The%20hurt%20locker.svg,Kathryn Bigelow,131
http://www.wikidata.org/entity/Q184255,Million Dollar Baby,http://commons.wikimedia.org/wiki/Special:FilePath/Maggie%27%20boxing%20gloves%20%28Million%20dollar%20baby%29%20Warner%20Bros.%20Studio%20Tour%20Hollywood.jpg,Clint Eastwood,132
http://www.wikidata.org/entity/Q184544,La Furie des S.S.,http://commons.wikimedia.org/wiki/Special:FilePath/Garrani%20giagnoni.jpg,Filippo Walter Ratti,95
http://www.wikidata.org/entity/Q185048,Jeunesse perdue,http://commons.wikimedia.org/wiki/Special:FilePath/Dodson%20promotional%20photo%20-%20Walter%20Huston%20and%20Ruth%20Chatterton.jpg,William Wyler,101
http://www.wikidata.org/entity/Q185214,Anna Christie,http://commons.wikimedia.org/wiki/Special:FilePath/Greta%20Garbo%20in%20a%20publicity%20image%20for%20%22Anna%20Christie%22.jpg,Clarence Brown,89
http://www.wikidata.org/entity/Q185229,L'Éclair noir,http://commons.wikimedia.org/wiki/Special:FilePath/GAZ-21%20%283rd%20generation%29%20%22Volga%22%20in%20Beroun%20%28as%20DOD%20probotrans%20expon%C3%A1t%29.jpg,Aleksandr Voïtinski,102
http://www.wikidata.org/entity/Q185229,L'Éclair noir,http://commons.wikimedia.org/wiki/Special:FilePath/GAZ-21%20%283rd%20generation%29%20%22Volga%22%20in%20Beroun%20%28as%20DOD%20probotrans%20expon%C3%A1t%29.jpg,Dimitri Kiselew,102
http://www.wikidata.org/entity/Q185445,Une femme mariée,http://commons.wikimedia.org/wiki/Special:FilePath/Une-femme%20-mariee-1.jpg,Jean-Luc Godard,96
http://www.wikidata.org/entity/Q185658,Indiana Jones et la Dernière Croisade,http://commons.wikimedia.org/wiki/Special:FilePath/ExpoSYFY%20-%20Indiana%20Jones%20and%20the%20Last%20Crusade%20%2810746697934%29.jpg,Steven Spielberg,122
http://www.wikidata.org/entity/Q185806,Sikandar,http://commons.wikimedia.org/wiki/Special:FilePath/Sikandar%2C%201941%2C%20Sohrab%20Modi.jpg,Sohrab Modi,146
http://www.wikidata.org/entity/Q185834,Le Temps d'aimer et le Temps de mourir,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Time%20to%20Love%20and%20a%20Time%20to%20Die%20%281958%29%20trailer%203.jpg,Douglas Sirk,132
http://www.wikidata.org/entity/Q185977,Zeitgeist: Moving Forward,http://commons.wikimedia.org/wiki/Special:FilePath/Zeitgeistmovingforward.png,Peter Joseph,161.25
http://www.wikidata.org/entity/Q186323,Borat,http://commons.wikimedia.org/wiki/Special:FilePath/Borat%20in%20Cologne.jpg,Larry Charles,84
http://www.wikidata.org/entity/Q186341,Shining,http://commons.wikimedia.org/wiki/Special:FilePath/Stanley%20Kubrick%20The%20Exhibition%20-%20TIFF%20-%20Shinning%20%2816215970687%29.jpg,Stanley Kubrick,119
http://www.wikidata.org/entity/Q186341,Shining,http://commons.wikimedia.org/wiki/Special:FilePath/Stanley%20Kubrick%20The%20Exhibition%20-%20TIFF%20-%20Shinning%20%2816215970687%29.jpg,Stanley Kubrick,144
http://www.wikidata.org/entity/Q186587,Troie,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%87anakkale%20kolaj.jpg,Wolfgang Petersen,155
http://www.wikidata.org/entity/Q186587,Troie,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%87anakkale%20kolaj.jpg,Wolfgang Petersen,163
http://www.wikidata.org/entity/Q186810,13 Assassins,http://commons.wikimedia.org/wiki/Special:FilePath/13%20Assassins%20Titel%202011.jpg,Takashi Miike,120
http://www.wikidata.org/entity/Q187561,In Bed with Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Jonathan%20Moffett%20Live%20with%20Madonna%20-%20Keep%20it%20Together%20HD%20%28FULL%29%20%282%2C15%20min%29.png,Alek Keshishian,122
http://www.wikidata.org/entity/Q188159,A Dangerous Method,http://commons.wikimedia.org/wiki/Special:FilePath/A%20dangerous%20method.svg,David Cronenberg,99
http://www.wikidata.org/entity/Q188718,Le Pont de la rivière Kwaï,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Bridge%20on%20the%20River%20Kwai%20%28trailer%20screenshot%29.jpg,David Lean,156
http://www.wikidata.org/entity/Q188850,Mamma Mia!,http://commons.wikimedia.org/wiki/Special:FilePath/ABBA%202008%20Av%20Daniel%20%C3%85hs.jpg,Phyllida Lloyd,108
http://www.wikidata.org/entity/Q189330,The Dark Knight Rises,http://commons.wikimedia.org/wiki/Special:FilePath/Batman%203.JPG,Christopher Nolan,164
http://www.wikidata.org/entity/Q189505,Les Dents de la mer,http://commons.wikimedia.org/wiki/Special:FilePath/Jaws%20movie%20poster.png,Steven Spielberg,124
http://www.wikidata.org/entity/Q189540,Les Sept Samouraïs,http://commons.wikimedia.org/wiki/Special:FilePath/Seven%20Samurai%20poster2.jpg,Akira Kurosawa,207
http://www.wikidata.org/entity/Q189600,Matrix Reloaded,http://commons.wikimedia.org/wiki/Special:FilePath/The.Matrix.glmatrix.2.png,Lilly Wachowski,138
http://www.wikidata.org/entity/Q189600,Matrix Reloaded,http://commons.wikimedia.org/wiki/Special:FilePath/The.Matrix.glmatrix.2.png,Lana Wachowski,138
http://www.wikidata.org/entity/Q190086,Certains l'aiment chaud,http://commons.wikimedia.org/wiki/Special:FilePath/Some%20Like%20It%20Hot%20%281959%20poster%29.png,Billy Wilder,120
http://www.wikidata.org/entity/Q190525,Q190525,http://commons.wikimedia.org/wiki/Special:FilePath/Memento.svg,Christopher Nolan,113
http://www.wikidata.org/entity/Q190956,Amadeus,http://commons.wikimedia.org/wiki/Special:FilePath/Amadeus%20poster%20logo.png,Miloš Forman,160
http://www.wikidata.org/entity/Q190956,Amadeus,http://commons.wikimedia.org/wiki/Special:FilePath/Amadeus%20poster%20logo.png,Miloš Forman,161
http://www.wikidata.org/entity/Q192115,Sin City,http://commons.wikimedia.org/wiki/Special:FilePath/Sincity-logo.svg,Q3772,124
http://www.wikidata.org/entity/Q192115,Sin City,http://commons.wikimedia.org/wiki/Special:FilePath/Sincity-logo.svg,Robert Rodriguez,124
http://www.wikidata.org/entity/Q192115,Sin City,http://commons.wikimedia.org/wiki/Special:FilePath/Sincity-logo.svg,Frank Miller,124
http://www.wikidata.org/entity/Q192686,Prometheus,http://commons.wikimedia.org/wiki/Special:FilePath/Prometheus.svg,Ridley Scott,124
http://www.wikidata.org/entity/Q192934,Anges et Démons,http://commons.wikimedia.org/wiki/Special:FilePath/Angels%26DemonsPantheon.JPG,Ron Howard,146
http://www.wikidata.org/entity/Q193066,Diamants sur canapé,http://commons.wikimedia.org/wiki/Special:FilePath/Breakfast%20at%20Tiffany%27s%20%281961%20poster%29.jpg,Blake Edwards,110
http://www.wikidata.org/entity/Q193570,Boulevard du crépuscule,http://commons.wikimedia.org/wiki/Special:FilePath/Sunset%20Boulevard%20%281950%20poster%29.jpg,Billy Wilder,110
http://www.wikidata.org/entity/Q193695,Le Magicien d'Oz,http://commons.wikimedia.org/wiki/Special:FilePath/WIZARD%20OF%20OZ%20ORIGINAL%20POSTER%201939.jpg,King Vidor,98
http://www.wikidata.org/entity/Q193695,Le Magicien d'Oz,http://commons.wikimedia.org/wiki/Special:FilePath/WIZARD%20OF%20OZ%20ORIGINAL%20POSTER%201939.jpg,Victor Fleming,98
http://www.wikidata.org/entity/Q195011,La Malle de San Antonio,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Lee%20Lawrence%20and%20Franco%20Pesce%20-%20Una%20pistola%20per%20cento%20bare.jpg,Umberto Lenzi,86
http://www.wikidata.org/entity/Q195274,Les Quatre Filles du docteur March,http://commons.wikimedia.org/wiki/Special:FilePath/Little%20Women%20lobby%20card%201933.JPG,George Cukor,115
http://www.wikidata.org/entity/Q195402,"Quoi de neuf, Pussycat ?",http://commons.wikimedia.org/wiki/Special:FilePath/WNPussycatGale.jpg,Clive Donner,104
http://www.wikidata.org/entity/Q195402,"Quoi de neuf, Pussycat ?",http://commons.wikimedia.org/wiki/Special:FilePath/WNPussycatGale.jpg,Richard Talmadge,104
http://www.wikidata.org/entity/Q195449,Les Endiablées,http://commons.wikimedia.org/wiki/Special:FilePath/Fredric%20March-Clara%20Bow%20in%20The%20Wild%20Party.jpg,Dorothy Arzner,77
http://www.wikidata.org/entity/Q195525,Quartet,http://commons.wikimedia.org/wiki/Special:FilePath/Dustin%20Hoffman%20Quartet%20avp%202013%204.jpg,Dustin Hoffman,98
http://www.wikidata.org/entity/Q195697,Tess au pays des tempêtes,http://commons.wikimedia.org/wiki/Special:FilePath/Tess%20of%20the%20Storm%20Country%20lobby%20card.tif,John Stuart Robertson,118
http://www.wikidata.org/entity/Q195949,Evan tout-puissant,http://commons.wikimedia.org/wiki/Special:FilePath/Evan%20Almighty%20Ark.jpg,Tom Shadyac,96
http://www.wikidata.org/entity/Q196004,Une nuit en enfer,http://commons.wikimedia.org/wiki/Special:FilePath/From%20Dusk%20Till%20Dawn%20logo.png,Robert Rodriguez,104
http://www.wikidata.org/entity/Q196901,Q196901,http://commons.wikimedia.org/wiki/Special:FilePath/Zettl-Logo.svg,Helmut Dietl,109
http://www.wikidata.org/entity/Q196933,La Justice des hommes,http://commons.wikimedia.org/wiki/Special:FilePath/Colman-Arthur-publicity.jpg,George Stevens,119
http://www.wikidata.org/entity/Q196977,Témoin à charge,http://commons.wikimedia.org/wiki/Special:FilePath/Tyrone%20Power%20in%20Witness%20for%20the%20Prosecution%20trailer%202.jpg,Billy Wilder,116
http://www.wikidata.org/entity/Q198028,L'Étrange Pouvoir de Norman,http://commons.wikimedia.org/wiki/Special:FilePath/LA%20Times%20Festival%20of%20Books%202012%20-%20Paranorman%20and%20two%20zombies%20%287104959075%29.jpg,Chris Butler,92
http://www.wikidata.org/entity/Q198028,L'Étrange Pouvoir de Norman,http://commons.wikimedia.org/wiki/Special:FilePath/LA%20Times%20Festival%20of%20Books%202012%20-%20Paranorman%20and%20two%20zombies%20%287104959075%29.jpg,Sam Fell,92
http://www.wikidata.org/entity/Q198560,My Best Men,http://commons.wikimedia.org/wiki/Special:FilePath/Tim%20Draxl%2C%20Kris%20Marshall%2C%20Xavier%20Samuel%2C%20Kevin%20Bishop%20%286707642905%29.jpg,Stephan Elliott,97
http://www.wikidata.org/entity/Q200091,Dix-sept Filles,http://commons.wikimedia.org/wiki/Special:FilePath/17%20Maedchen%20Plakat.jpg,Delphine Coulin,87
http://www.wikidata.org/entity/Q200091,Dix-sept Filles,http://commons.wikimedia.org/wiki/Special:FilePath/17%20Maedchen%20Plakat.jpg,Muriel Coulin,87
http://www.wikidata.org/entity/Q200096,17 ans encore,http://commons.wikimedia.org/wiki/Special:FilePath/17%20ans%20encore%20%28logo%29.png,Burr Steers,102
http://www.wikidata.org/entity/Q200299,Ève,http://commons.wikimedia.org/wiki/Special:FilePath/Bette%20Davis%20and%20Gary%20Merrill%20in%20All%20About%20Eve.jpg,Joseph L. Mankiewicz,138
